id,text,emoji
49,WIN FOLLOWERS ️  ️ ️ ️  ️ Retweet and Like This only to  GAIN FOLLOWERS,:hundred_points:
89,Omg the medals are packaged just like a normal album with photocards  ️  ️  ️ Best selling kpop artist of all time in album sal …,:red_heart:
89,Omg the medals are packaged just like a normal album with photocards  ️  ️  ️ Best selling kpop artist of all time in album sal …,:red_heart:
89,Omg the medals are packaged just like a normal album with photocards  ️  ️  ️ Best selling kpop artist of all time in album sal …,:red_heart:
10,Met orlando brown today  and this was his opinion on this generation,:face_with_tears_of_joy:
50,People wear capes costumes to hella movie premiers ie Harry Potter SpiderMan all of that let us have a moment  https …,:face_with_rolling_eyes:
90,Stop worrying how its going to happen and start trusting that it will,:winking_face:
11,Im goin to bed  we are even i have fucked fams lml jk America has a screw up fuked upracist Loser as a Presid …,:weary_face:
51,ANTMAN AND THE WASP DEADPOOL 2 IT 2 MULAN INFINITY WAR HEMAN Y MAS  🏼  CITA …,:collision:
51,ANTMAN AND THE WASP DEADPOOL 2 IT 2 MULAN INFINITY WAR HEMAN Y MAS  🏼  CITA …,:raising_hands:
51,ANTMAN AND THE WASP DEADPOOL 2 IT 2 MULAN INFINITY WAR HEMAN Y MAS  🏼  CITA …,:backhand_index_pointing_right:
91,I never get tired of the BTS vs Zombie Run ep,:face_with_tears_of_joy:
12,Will and Jada on how they discipline their children  🏾,:clapping_hands:
52,Hbd to the niece i never knew i wanted  love you BB gurl,:two_hearts:
92,fan asked jeno to draw on renjuns pc and vice versa look at the difference im laughing,:face_with_tears_of_joy:
13,EVERYBODY is pregnant I would ask whats in the air but clearly its ass  🏽 ‍  ️,:person_shrugging:
13,EVERYBODY is pregnant I would ask whats in the air but clearly its ass  🏽 ‍  ️,:male_sign:
13,EVERYBODY is pregnant I would ask whats in the air but clearly its ass  🏽 ‍  ️,:loudly_crying_face:
53,This is worth the watch Be You Be Proud Always Thank you mom  ️,:red_heart:
53,This is worth the watch Be You Be Proud Always Thank you mom  ️,:yellow_heart:
93,Easy prom makeup look,:sparkles:
14,I promise to fucking god Dawq 🏾 ‍  ️,:male_sign:
54,🏻 very nice too  ️,:thumbs_up:
54,🏻 very nice too  ️,:heavy_check_mark:
94,Get your here  Tag someone who need this,:eyes:
15,God keep working  🏽,:folded_hands:
55,insta lives are really doing a madness,:loudly_crying_face:
95,Dark skin women are the most beautiful women on this earth  🏾,:raising_hands:
16,Happy Birthday to Hoeseung  Catch up with him,:party_popper:
56,Its Gaining Time Now  Turn my Notifications  Follow who RT amp LK  Comment IFB  Follow me,:white_heavy_check_mark:
56,Its Gaining Time Now  Turn my Notifications  Follow who RT amp LK  Comment IFB  Follow me,:white_heavy_check_mark:
56,Its Gaining Time Now  Turn my Notifications  Follow who RT amp LK  Comment IFB  Follow me,:white_heavy_check_mark:
56,Its Gaining Time Now  Turn my Notifications  Follow who RT amp LK  Comment IFB  Follow me,:white_heavy_check_mark:
96,️ PLAN B N CHILL SESSION ️ ️ HOW TO MAKE A BABY IN 2MIN AND 33SEC CHALLENGE MADE BY DJCORIE  ️ …,:double_exclamation_mark:
17,Over 3M Dollars in Scholarships is a BLESSING,:hundred_points:
57,Somebody slide In my dms wit the smoothest line yall can come up with,:rolling_on_the_floor_laughing:
97,So my sister has that Musically App amp I thought this was the funniest video ever,:face_with_tears_of_joy:
18,I be considering to remove this app from my phone Cause these tweets be having me weakkk,:loudly_crying_face:
58,I cant with this,:face_with_tears_of_joy:
98,WineMummy Congrats on your 250  ️ tweet,:red_heart:
19,My teacher gave someone a higher grade then me that didnt even do half the problems  then gave the next person …,:rolling_on_the_floor_laughing:
59,season threee babyyy 🏽 ‍  ️,:female_sign:
99,A special good morning to this beaut,:two_hearts:
20,When its yo first time goin to the studio with yo homie,:loudly_crying_face:
60,please pay no attention to this she misunderstood what i said  ‍  ️ i was literally defending cam girls,:person_facepalming:
60,please pay no attention to this she misunderstood what i said  ‍  ️ i was literally defending cam girls,:female_sign:
100,️ TWITTER HELP ME OUT  ️,:double_exclamation_mark:
100,️ TWITTER HELP ME OUT  ️,:double_exclamation_mark:
21,See MeIm All About Keeping Sht 1OOO I DONT Mind Games Nor With Others Feelings  🏽,:flexed_biceps:
61,This is my Boy right here for life l love this guy he gave me my shot and l 🏽 ‍  ️ Ran with it Classic,:male_sign:
101,It must be really awful,:face_with_tears_of_joy:
22,Follow everyone who retweets this,:eyes:
62,If you dick her down right she gon like you fasho  she a just naturally keep it g at first when you used to ask wyd she a say …,:face_with_tears_of_joy:
102,Smile Thru The pain They Wont Never Understand,:hundred_points:
23,Dillan and Joey Bareback Sex,:backhand_index_pointing_right:
63,had to look twice for a minute then,:face_with_tears_of_joy:
103,I dont have one  🏽,:face_with_tears_of_joy:
24,ARMY please counterattack rate increasing very fast Lets be prepared to wrap up voting with the final 2 m …,:police_car_light:
64,Sending love and light to my friends at  ️ Praying for everyone and for change to come soon,:red_heart:
104,This may sound lame but now all I want as gifts are school supplies water bottles amp target amp Starbucks gift cards,:face_with_tears_of_joy:
25,I picked up the phone and found out I am the youngest female artist to hit 1 BILLION views on a music video  WHAAA …,:party_popper:
65,Ohh I heard so we have to vote hard We can do it,:two_hearts:
105,My Insomnia tweeps whats up If youre a Nigerian or You want 🇳 🇬 Followers Retweet this Follow Me  Follow everyon …,:smiling_face_with_smiling_eyes:
26,I would marry her on the spot  ️,:face_with_tears_of_joy:
66,I dont buy it i think its your name that got you dumped,:face_with_tears_of_joy:
106,Electoral College Damage  if u want America to have a chance you better fight like hell against DACA Texas amp Florid …,:police_car_light:
106,Electoral College Damage  if u want America to have a chance you better fight like hell against DACA Texas amp Florid …,:police_car_light:
27,Larvitar  Rock SmashStomp IV 64 CP 655 L 28 until 040839am unknlat 2660401941 85amplon81872331178ampe …,:female_sign:
67,Dont forget it  new product,:face_blowing_a_kiss:
107,Omg their award  Please do V Live,:face_with_tears_of_joy:
107,Omg their award  Please do V Live,:face_with_tears_of_joy:
28,nobody can say beyonce cant sing,:smiling_face_with_heart-eyes:
68,Look Up 7 Sculptural Wood Ceilings That Undulate and Flow  …,:eyes:
108,happy birthday I hope u have a lovely day,:two_hearts:
29,What Will You Do If Your Bias Will Say Can I Stay In Your House Overnight Dont Think Of 19  Tweet Retweet Quot …,:face_with_tears_of_joy:
69,for ‍  ️ Mar 1921 Mar 2225,:female_sign:
109,Sis you really did this song  🏾  🏾  🏾,:raising_hands:
109,Sis you really did this song  🏾  🏾  🏾,:raising_hands:
109,Sis you really did this song  🏾  🏾  🏾,:raising_hands:
30,RIP to his son  Story via,:crying_face:
70,This elephant knows whats up,:face_with_tears_of_joy:
110,Happy Valentines Day Whats your favorite track,:two_hearts:
31,The 2018 Copa del Rey final will be played at Wanda Metropolitano on 21 April More info,:backhand_index_pointing_right:
71,happy 21st birthday to one of my favorite bassist  you deserve all the love and happiness in the world keep inspiring ma …,:sparkling_heart:
111,Rt if u trust in God  …,:smiling_face:
32,Happy To V whos loving nature and soulful voice brings joy to many  D2 till ‘ Burn The …,:purple_heart:
72,This really be happening all the time  ‍  ️,:face_with_tears_of_joy:
72,This really be happening all the time  ‍  ️,:male_sign:
112,May these smiles always find their way to your lips  Happy loves maichrd …,:smiling_face:
33,amp APRIL FOOLS BECAUSE YOU ARE NOT OUR PRESIDENT,:face_with_tears_of_joy:
73,Im so excited So many channels are showing later  Its so accessible and many peo …,:smiling_face_with_heart-eyes:
113,Yooo I cant wait for summer Im over this cold weather,:face_with_rolling_eyes:
34,A very productive day baksu  🏻  🏻  🏻,:clapping_hands:
34,A very productive day baksu  🏻  🏻  🏻,:clapping_hands:
34,A very productive day baksu  🏻  🏻  🏻,:clapping_hands:
74,yall too needy  gtfo now,:face_with_tears_of_joy:
114,B b G new arrival  ️ Complete set Price A2300,:heavy_check_mark:
35,Me too Love this tweet See folks there are way more of us out there than you think,:backhand_index_pointing_down:
75,Dont know about the outfit but sure love these knockers,:smiling_face_with_heart-eyes:
115,Without missing a beat too,:face_with_tears_of_joy:
36,Yall my cousin sent me this video and Im crying,:face_with_tears_of_joy:
76,10 Robert Pattinson  Cedric Diggory  ️,:smiling_face_with_heart-eyes:
76,10 Robert Pattinson  Cedric Diggory  ️,:red_heart:
116,Usher Confessions Have to close it off with another Usher Classic This guy is a LEGEND  httpst …,:fire:
37,ROOTING FOR THESE 2  GO STAND,:yellow_heart:
77,has spoken to following the extension of his contract with the deal now running until June 2019  ️ ht …,:right_arrow:
117,Bro she had some ridiculus legs when Triton used his magic,:face_with_tears_of_joy:
38,WARNING  Today is iHeart Voting Spree day Lets vote our hardest throughout the next 24 hours to remain consisten …,:police_car_light:
38,WARNING  Today is iHeart Voting Spree day Lets vote our hardest throughout the next 24 hours to remain consisten …,:police_car_light:
78,Thanks mate glad people appreciate it  🏻,:thumbs_up:
118,I returned I slept I headache I slept,:face_with_tears_of_joy:
39,180418 Preview  Miss you a lot ！ ！,:purple_heart:
79,just gotta properly mugged off by a clio  🏽,:clapping_hands:
79,just gotta properly mugged off by a clio  🏽,:face_with_tears_of_joy:
119,THIS NIGGA HERB IS HILARIOUS,:loudly_crying_face:
